Country	milex
United States of America	56723091.791666664
Canada	3826800.2954545454
Bahamas	23436.382352941175
Cuba	484854.8947368421
Haiti	11909.522222222222
Dominican Republic	57800.3734939759
Jamaica	28443.08695652174
Trinidad and Tobago	39096.119047619046
Barbados	9662.5
Dominica	19.083333333333332
Grenada	811.45
St. Lucia	0
St. Vincent and the Grenadines	1028
Antigua & Barbuda	3743.75
St. Kitts and Nevis	63.8
Mexico	493361.1888111888
Belize	11335.846153846154
Guatemala	40560.24137931035
Honduras	24013.950495049507
El Salvador	40944.850877192985
Nicaragua	69727.45588235294
Costa Rica	22318.823529411766
Panama	48848.32307692308
Colombia	465144.46774193546
Venezuela	370677.9831932773
Guyana	11920.72972972973
Suriname	27836.071428571428
Ecuador	124020.1568627451
Peru	275503.4516129032
Brazil	1492915.0843373493
Bolivia	48656.87037037037
Paraguay	27892.278846153848
Chile	499286.98507462686
Argentina	642715.8552631579
Uruguay	76889.08181818182
United Kingdom	7258885.859375
Ireland	224060.12790697673
Netherlands	1257903.9574468085
Belgium	737592.4310344828
Luxembourg	44479.50588235294
France	6681772.633507853
Monaco	0
Liechtenstein	0
Switzerland	707164.1233766234
Spain	1311123.5243243242
Andorra	0
Portugal	361089.31213872833
Hanover	334.62068965517244
Bavaria	748.3333333333334
Germany	5967228.459459459
German Federal Republic	13122204.055555556
German Democratic Republic	4623569.454545454
Baden	230.89285714285714
Saxony	255.47368421052633
Wuerttemburg	221.14545454545456
Hesse Electoral	136.93939393939394
Hesse Grand Ducal	151.5
Mecklenburg Schwerin	109.81818181818181
Poland	2997620.4096385543
Austria-Hungary	113846.11764705883
Austria	716586.4166666666
Hungary	752487.3764705883
Czechoslovakia	1762492.1857142858
Czech Republic	1475653.3333333333
Slovakia	558013.3333333334
Italy	3340726.2395833335
Papal States	541.375
Two Sicilies	2709
San Marino	0
Modena	98.4
Parma	94.1
Tuscany	189.86666666666667
Malta	17278.295454545456
Albania	68093.76666666666
Montenegro	56000
Macedonia	87965.6
Croatia	867875
Yugoslavia	625754.157480315
Bosnia and Herzegovina	374562.5
Slovenia	381126.6666666667
Greece	852996.1234567901
Cyprus	163438.29166666666
Bulgaria	684973.5263157894
Moldova	136288.23529411765
Romania	731205.9516129033
Russia	29952147.927083332
Estonia	52160.02564102564
Latvia	62128.94871794872
Lithuania	86925.33333333333
Ukraine	2647235.294117647
Belarus	989625
Armenia	278437.5
Georgia	264733.3333333333
Azerbaijan	423785.8823529412
Finland	624246.9325842697
Sweden	1057212.873493976
Norway	1043308.3434343435
Denmark	491831.5304878049
Iceland	2196.72131147541
Cape Verde	3859.1666666666665
Sao Tome and Principe	250
Guinea-Bissau	7284.827586206897
Equatorial Guinea	3943.076923076923
Gambia	3471.315789473684
Mali	41918.145833333336
Senegal	60959.8125
Benin	22552.531914893618
Mauritania	26218.652173913044
Niger	15177.145833333334
Ivory Coast	85689.47916666667
Guinea	38961.125
Burkina Faso	38360.833333333336
Liberia	15786.074074074075
Sierra Leone	13255.45652173913
Ghana	71713.92156862745
Togo	20891.27659574468
Cameroon	108925.85416666667
Nigeria	654718.7291666666
Gabon	60254.37777777778
Central African Republic	14006.404255319148
Chad	32316.583333333332
Congo	48569.52173913043
Democratic Republic of the Congo	145398.44680851063
Uganda	103339.84782608696
Kenya	189835.8
Tanzania	119142.74468085106
Zanzibar	0
Burundi	30344.355555555554
Rwanda	44165.782608695656
Somalia	42912.46153846154
Djibouti	24467.4
Ethiopia	272726.2448979592
Eritrea	151615.38461538462
Angola	1040167.3928571428
Mozambique	113470.66666666667
Zambia	99258
Zimbabwe	244759
Malawi	16827.136363636364
South Africa	1125883.7159090908
Namibia	105597.77777777778
Lesotho	17940
Botswana	108516.82926829268
Swaziland	16827.39393939394
Madagascar	54291.62222222222
Comoros	1997.6666666666667
Mauritius	13918.125
Seychelles	10445.714285714286
Morocco	833572.9423076923
Algeria	1185658.5
Tunisia	241568.57692307694
Libya	1122389.5957446808
Sudan	271572.45098039217
Iran	2494609.712765957
Turkey	1411741.1094890512
Iraq	2528156.4
Egypt	1599392.3625
Syria	1173670.3833333333
Lebanon	202959.21666666667
Jordan	351195.22580645164
Israel	4265141.233333333
Saudi Arabia	10953031.983050847
Yemen Arab Republic	244377.4193548387
Yemen	630823.5294117647
Yemen People's Republic	103342.08695652174
Kuwait	2822298.234042553
Bahrain	238603.35135135136
Qatar	827522.1875
United Arab Emirates	2642327.027027027
Oman	1675471.7027027027
Afghanistan	89100.65454545454
Turkmenistan	195081.25
Tajikistan	111987.5
Kyrgyzstan	93960
Uzbekistan	846357.1428571428
Kazakhstan	1013312.5
China	13709386.646464646
Mongolia	89224.91071428571
Taiwan	4485607.796610169
Korea	229.6
North Korea	2318487.6739130435
South Korea	5679520
Japan	7637514.246268657
India	5992180.409836066
Bhutan	20166.666666666668
Pakistan	1592150
Bangladesh	396621.02857142856
Myanmar	1060517.3666666667
Sri Lanka	253532.41666666666
Maldives	21936.842105263157
Nepal	33872.087719298244
Thailand	844444.6923076923
Cambodia	83618.275
Laos	30591.127659574468
Vietnam	1150569.810810811
Republic of Vietnam	419780.5
Malaysia	1423533.9803921569
Singapore	2085525.511627907
Brunei	300902.3181818182
Philippines	538986.6451612903
Indonesia	1570894.1186440678
Australia	3071149.5568181816
Papua New Guinea	40160.606060606064
New Zealand	324323.76136363635
Vanuatu	0
Solomon Islands	0
Kiribati	0
Tuvalu	0
Fiji	22119.184210526317
Tonga	0
Nauru	0
Marshall Islands	0
Palau	0
Federated States of Micronesia	0
Samoa	0
